"timestamp"              , "level", "logger"     , "account_id", "user_query"                                                                             , "generated_sql"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , "status"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "rows", "response"                                                                                                                                                                                                                                                                                                                                                                     , "parse_error", "raw_entry"
"2026-07-17 11:40:07,736", "INFO" , "chatbot_sql", "54087"     , "How many  total packages are there?"                                                    , "SELECT COUNT(*) AS package_count FROM track_packages WHERE account_id = 54087 LIMIT 100"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "ok:qwen"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "1"   , "Notifii chatbot: No matching organizational data was found."                                                                                                                                                                                                                                                                                                                  , ""           , ""
"2026-07-17 11:40:57,616", "INFO" , "chatbot_sql", "54087"     , "total count of the packages ?"                                                          , "SELECT COUNT(*) AS package_count
                                                                                                                                                            FROM track_packages
                                                                                                                                                            WHERE account_id = 54087;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "ok:qwen"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "1"   , "Notifii chatbot: [ {'package_count': 10 }]"                                                                                                                                                                                                                                                                                                                                   , ""           , ""
"2026-07-17 11:43:16,149", "INFO" , "chatbot_sql", "54087"     , "what is this account number"                                                            , "SELECT * FROM track_packages WHERE account_id = 54087 LIMIT 100"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "ok:qwen"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "10"  , "Notifii chatbot: I found 10 matching record(s). Here is a quick preview from the latest record: package_id=34369470, account_id=54087, tracking_number=420118039410811699000950272027, shipping_carrier=US Postal Service."                                                                                                                                                   , ""           , ""
"2026-07-17 11:44:26,743", "INFO" , "chatbot_sql", "54087"     , "what is the account id?"                                                                , "SELECT account_id FROM track_packages WHERE account_id = 54087 LIMIT 100"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "ok:qwen"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "10"  , "Notifii chatbot: The account id found in the database is 54087. There are multiple records with this account id, indicating it has been used for various operations or packages tracked."                                                                                                                                                                                     , ""           , ""
"2026-07-17 11:50:44,245", "INFO" , "chatbot_sql", "54087"     , "what is the account id?"                                                                , "SELECT * FROM track_packages WHERE account_id = 54087 LIMIT 100"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "ok:qwen"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "10"  , "I found 10 matching record(s). Here is a quick preview from the latest record: package_id=34369470, account_id=54087, tracking_number=420118039410811699000950272027, shipping_carrier=US Postal Service."                                                                                                                                                                    , ""           , ""
"2026-07-17 12:00:29,468", "INFO" , "chatbot_sql", "54087"     , "gyxkhgv"                                                                                , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "out_of_scope"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "0"   , "This question is out of the box i cannot respond to this question"                                                                                                                                                                                                                                                                                                            , ""           , ""
"2026-07-17 12:00:40,647", "INFO" , "chatbot_sql", "54087"     , "hi"                                                                                     , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "out_of_scope"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "0"   , "This question is out of the box i cannot respond to this question"                                                                                                                                                                                                                                                                                                            , ""           , ""
"2026-07-17 12:01:24,290", "INFO" , "chatbot_sql", "54087"     , "how many packages are loggedin?"                                                        , "SELECT COUNT(*) AS package_count
                                                                                                                                                            FROM track_packages
                                                                                                                                                            WHERE account_id = 54087;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "ok:qwen:explicit"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "1"   , "The total matching records are 1."                                                                                                                                                                                                                                                                                                                                            , ""           , ""
"2026-07-17 12:02:12,785", "INFO" , "chatbot_sql", "54087"     , "how many packages are loggedin today?"                                                  , "SELECT COUNT(*) AS package_count
                                                                                                                                                            FROM track_packages
                                                                                                                                                            WHERE account_id = 54087 AND DATE(date_received) = CURDATE();"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "ok:qwen:explicit"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "1"   , "The total matching records are 1."                                                                                                                                                                                                                                                                                                                                            , ""           , ""
"2026-07-17 12:13:50,260", "INFO" , "chatbot_sql", "54087"     , "hi"                                                                                     , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "greeting"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "0"   , "Hello! I can help you with your account-specific package data. Please ask your data question."                                                                                                                                                                                                                                                                                , ""           , ""
"2026-07-17 12:14:05,617", "INFO" , "chatbot_sql", "54087"     , "god morning"                                                                            , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "out_of_scope"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "0"   , "I cannot respond because you do not have sufficient data."                                                                                                                                                                                                                                                                                                                    , ""           , ""
"2026-07-17 12:17:23,313", "INFO" , "chatbot_sql", "54087"     , "god morning"                                                                            , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "greeting"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "0"   , "Hello! I can help you with your account-specific package data. Please ask your data question."                                                                                                                                                                                                                                                                                , ""           , ""
"2026-07-17 12:18:24,591", "INFO" , "chatbot_sql", "54087"     , "good eveng"                                                                             , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "greeting"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "0"   , "Hello! I can help you with your account-specific package data. Please ask your data question."                                                                                                                                                                                                                                                                                , ""           , ""
"2026-07-17 12:21:42,373", "INFO" , "chatbot_sql", "54087"     , "hi"                                                                                     , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "greeting"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "0"   , "Hello! Glad to meet you. I'm here to assist with any questions about your account package data. How can I help you today?"                                                                                                                                                                                                                                                    , ""           , ""
"2026-07-17 12:21:57,062", "INFO" , "chatbot_sql", "54087"     , "good night"                                                                             , ""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "out_of_scope"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "0"   , "I cannot respond because you do not have sufficient data."                                                                                                                                                                                                                                                                                                                    , ""           , ""
